636/.07           :: 9780753458389
813/.6            :: 0786266872
704.9/2           :: 9780824024802
301               :: 0312173113
375/.0086         :: 0205116892
322.4/2/0941      :: 9780586082256
519.2             :: 9780824778033
508.744/92        :: 9780879236199
252/.03           :: 9780898701364
330.1 D           :: 0807047031
358/.18/08 s      :: 0853830029
516               :: 1898611025
973/.04975        :: 9780803281745
635/.0484         :: 0028623150
082               :: 0836911016
828/.7/09         :: 0836953622
423/.12           :: 9780753461174
508               :: 0393946347
823/.9/12         :: 0836940334
178.1             :: 0665091753
410               :: 9780836953664
720/.92/4         :: 9780527958503
273/.4            :: 9780852444481
307.70941         :: 0745011985
283               :: 0198266936
823/.8            :: 019281687X
004               :: 9783772375682
070.5/79          :: 0850316316
681.1/14          :: 2719102318
813/.54           :: 089621138X
823/.9/1          :: 0856860522
468.6/421         :: 0030715725
378.01            :: 0665871872
338.7/66639414/43 :: 9780906169070
909               :: 9781856975254
823/.9/1F         :: 9780854681709
591.3/9           :: 9780753460597
006.76            :: 9783645600767
978.3/62          :: 0060973897
746.46092         :: 1933308036
658               :: 9780075607663
636.088/7         :: 9780753458402
330.973           :: 083691645X
301.41/2/0942     :: 9780812814477
942.2/792         :: 090155992X
338.7/6663941443  :: 9780902752306
327/.2/0924       :: 9780837175126
842/.7            :: 0729301230
591.75/3          :: 9780753458396
031.02            :: 9780753452707
346.4203          :: 9781405873628
940.53/162/0924   :: 0701204559
823.912           :: 1853262110
823.91            :: 0263705900
420/.8            :: 0836950550
770/.28           :: 0904069494
427.09            :: 1851455264
623.74/75/0973    :: 9780853830030
170/.202          :: 0912310456
821/.5/09         :: 9780841467279
423.1             :: 9780710085375
709/.2            :: 9780907849971
709.4563209024    :: 9780131938328
631.3/0942        :: 0238788202
929.4             :: 0237444178
759.06            :: 9780896598119
621.381/076       :: 9780830679102
297.4/8           :: 9788173915819
